"internalName","localizationId","resourceClass_0x44","workerPriceMultiplier","unknown_0x054","dollarBuyPrice","rubleBuyPrice","directDollarPriceComponent","directRublePriceComponent","dollarSellMultiplier","dollarBuyMultiplier","positiveImbalanceScaleDollar","negativeImbalanceScaleDollar","rubleFlowCouplingIntoDollar","dynamicDollarPriceMultiplier","rubleSellMultiplier","rubleBuyMultiplier","positiveImbalanceScaleRuble","negativeImbalanceScaleRuble","dollarFlowCouplingIntoRuble","dynamicRublePriceMultiplier","unknown_0xC8","unknown_0x0CC","unknown_0x0D0","unknown_0x0D4","unknown_0x0E8","unknown_0x0EC","unknown_0x0F0","unknown_0x0F4","unknown_0x10C","unknown_0x110","unknown_0x114","unknown_0x12C","unknown_0x130","unknown_0x134","unknown_0x138","unknown_0x13C","unknown_0x14C","unknown_0x150","unknown_0x154","unknown_0x16C","unknown_0x170","unknown_0x174","unknown_0x18C","unknown_0x190","unknown_0x194","unknown_0x1AC","unknown_0x1B0","unknown_0x1B4","unknown_0x1CC","unknown_0x1D0","unknown_0x1D4","unknown_0x1EC","unknown_0x1F0","unknown_0x1F4","unknown_0x20C","unknown_0x210","unknown_0x214","unknown_0x22C","unknown_0x230","unknown_0x234","unknown_0x248","unknown_0x24C","unknown_0x250","unknown_0x254","unknown_0x26C","unknown_0x270","unknown_0x274","unknown_0x28C","unknown_0x290","unknown_0x294","unknown_0x2AC","unknown_0x2B0","unknown_0x2B4","unknown_0x2B8","unknown_0x2BC","unknown_0x2CC","unknown_0x2D0","unknown_0x2D4","unknown_0x2D8","unknown_0x2DC","isWasteResource","unknown_0x2F0","unknown_0x2F4","recyclingMaterialFamily","unknown_0x310","meshAndMaterialAssets"
"workers","518","-1","0","0","6","5","0","0","0","0","0","0","0,5","1","0","0","0","0","0,5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4294967295","1",""
"eletric","529","-2","0","0","6","5","0","0","0,949999988","1,04999995","40000","60000","0,5","1","0,949999988","1,04999995","55000","75000","0,5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4294967295","1",""
"vehicles","532","-3","0","0","6","5","0","0","0","0","0","0","0,5","1","0","0","0","0","0,5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0,300000012",""
"trains","533","-4","0","0","6","5","0","0","0","0","0","0","0,5","1","0","0","0","0","0,5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0,300000012",""
"heat","58008","-5","0","0","6","5","0","0","0,949999988","1,04999995","40000","60000","0,5","1","0,949999988","1,04999995","55000","75000","0,5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4294967295","0,300000012",""
"gravel","500","0","0","0","3","3","0","0","0,949999988","1,04999995","1000","2800","0,5","1","0,949999988","1,04999995","1500","3800","0,5","1","0","0","0","0","0","0","0","0","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012","resources/gravel_vehicle.nmf; resources/gravel.mtl; resources/gravel1.nmf; resources/gravel2.nmf; resources/gravel3.nmf; resources/gravel4.nmf"
"rawgravel","522","0","0","0","1,29999995","1,29999995","1,20000005","1,20000005","0,949999988","1,04999995","800","1700","0,5","1","0,949999988","1,04999995","1200","2400","0,5","1","0","0","0","0","0","0","0","0","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012","resources/rawgravel_vehicle.nmf; resources/rawgravel.mtl; resources/rawgravel1.nmf; resources/rawgravel2.nmf; resources/grawravel3.nmf; resources/rawgravel3.nmf; resources/rawgravel4.nmf"
"plants","501","0","0","0","14","10","1,79999995","1,79999995","0,949999988","1,04999995","3500","2800","0,5","1","0,949999988","1,04999995","3700","2500","0,5","1","1","0,800000012","5","5","0","0","0","0","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,800000012","5","5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"steel","517","1","0","0","90","77","0","0","0,949999988","1,04999995","1500","2000","0,5","1","0,949999988","1,04999995","2000","3250","0,5","1","0","0,800000012","5","5","0","1","1","2","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","1","1","2","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0,300000012","resources/steel.nmf; resources/steel.mtl"
"aluminium","542","1","0","0","90","77","0","0","0,949999988","1,04999995","1500","2000","0,5","1","0,949999988","1,04999995","2000","3250","0,5","1","0","0,800000012","5","5","0","1","1,75","2,75","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","1","1,75","2,75","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0,300000012","resources/aluminium.nmf; resources/aluminium.mtl"
